uri:/instrument/1.0/AAPL/chartdata;type=quote;range=10d/csv
ticker:aapl
Company-Name:Apple Inc.
Exchange-Name:NMS
unit:MIN
timezone:EDT
currency:USD
gmtoffset:-14400
previous_close:113.4000
range:20150910,1441891800,1441915200
range:20150911,1441978200,1442001600
range:20150914,1442237400,1442260800
range:20150915,1442323800,1442347200
range:20150916,1442410200,1442433600
range:20150917,1442496600,1442520000
range:20150918,1442583000,1442606400
range:20150921,1442842200,1442865600
range:20150922,1442928600,1442952000
range:20150923,1443015000,1443038400
Timestamp:1441891800,1443038400
labels:1441891800,1441978200,1442237400,1442323800,1442410200,1442496600,1442583000,1442842200,1442928600,1443015000
values:Timestamp,close,high,low,open,volume
close:110.2200,116.4700
high:110.7000,116.8900
low:109.9000,116.4100
open:110.0700,116.5800
volume:0,16754000
1441992897,112.8510,113.0249,112.8200,112.9290,428300
1441993199,112.9500,112.9600,112.8200,112.8600,285400
1441993442,113.0400,113.1190,112.9100,112.9440,387700
1441993799,113.0702,113.1500,112.9600,113.0500,318900
1441994040,113.1900,113.2111,113.0200,113.0500,376600
1441994340,113.2850,113.4300,113.1805,113.1805,780400
1441994640,113.2499,113.3400,113.1800,113.2800,721900
1441994940,113.1800,113.2400,113.0600,113.2400,405400
1441995240,113.2400,113.3400,113.1800,113.1800,355000
1441995541,113.4402,113.4500,113.2200,113.2400,496900
1441995899,113.6400,113.6700,113.4300,113.4500,772200
1441996199,113.6500,113.6800,113.5600,113.6500,570900
1441996440,113.7501,113.8687,113.6500,113.6500,959000
1441996741,113.9300,113.9500,113.7200,113.7600,764500
1441997099,113.9300,114.0100,113.8888,113.9400,964100
1441997340,114.0290,114.0500,113.9000,113.9499,779300
1441997641,113.7700,114.1000,113.7700,114.0300,747100
1441997999,113.8000,113.9299,113.7700,113.7735,546800
1441998240,113.9700,114.0600,113.8050,113.8050,641400
1441998597,114.0800,114.1700,113.9100,113.9600,696800
1441998899,114.0700,114.1000,113.9500,114.0800,691700
1441999140,113.9700,114.1500,113.9500,114.0737,733100
1441999499,114.0000,114.0900,113.9300,113.9900,771000
1441999799,114.0101,114.0430,113.9338,114.0100,504800
1442000040,113.9300,114.0250,113.8700,114.0200,553900
1442000399,114.0400,114.0800,113.9300,113.9300,892900
1442000698,113.9836,114.0500,113.9001,114.0400,700300
1442000999,113.9293,114.0300,113.9050,113.9900,559900
1442001299,114.0100,114.0553,113.9300,113.9500,956300
1442001599,114.1100,114.1100,113.9700,114.0190,1932400
1442001600,114.2000,114.2000,114.2000,114.2000,103500
1442237699,116.3850,116.8900,116.1600,116.5800,0
1442237999,116.4010,116.6100,116.0550,116.3650,2346100
1442238240,116.0100,116.7500,115.8900,116.4100,2034100
1442238540,116.0500,116.1000,115.6600,115.9750,1656800
1442238899,115.9500,116.1543,115.7600,116.0500,1372100
1442239199,115.9350,116.0300,115.7700,115.9500,963600
1442239499,116.2499,116.3100,115.7500,115.8800,1261800
1442239740,116.2200,116.2900,116.0700,116.2500,942500
1442240099,116.2245,116.3100,116.0700,116.2200,930200
1442240399,116.4300,116.5533,116.2200,116.2300,1204200
1442240699,116.4400,116.5200,116.2800,116.4400,685100
1442240999,116.2643,116.5600,116.2300,116.4300,679800
1442241240,116.0800,116.3090,115.9400,116.2650,1049800
1442241540,116.0100,116.1800,115.8400,116.0800,1093900
1442241899,115.9969,116.1400,115.9100,116.0071,616600
1442242199,115.9900,116.0600,115.8300,116.0000,651200
1442242499,115.7100,116.0100,115.3700,115.9900,1469900
1442242799,115.7700,115.9200,115.6100,115.7100,724700
1442243040,115.9000,116.0000,115.7200,115.7800,547600
1442243340,115.9000,116.0200,115.8500,115.9000,464200
1442243699,115.8850,115.9200,115.7500,115.9004,413900
1442243999,115.7500,115.9299,115.6900,115.8800,414900
1442244240,115.7100,115.8400,115.6900,115.7600,439800
1442244599,115.3951,115.7500,115.3700,115.7100,766700
1442244841,115.4000,115.5000,115.3100,115.3900,583600
1442245140,115.5750,115.6500,115.3500,115.3900,617200
1442245499,115.5000,115.6900,115.4761,115.5700,545800
1442245742,115.5000,115.5500,115.3500,115.4900,444100
1442246040,115.5700,115.6600,115.4800,115.5000,399500
1442246340,115.4600,115.5701,115.4100,115.5700,314900
1442246699,115.2700,115.5700,115.1300,115.4600,675100
1442246940,115.1000,115.2600,115.0700,115.2600,641400
1442247240,115.0199,115.1400,114.9500,115.0900,927700
1442247599,115.0300,115.1900,114.9900,115.0100,536500
1442247899,115.0900,115.1100,114.8600,115.0300,618100
1442248199,115.0889,115.1400,114.9800,115.1000,438100
1442248440,115.2101,116.2644,114.9800,115.0800,689300
1442248740,115.2999,115.3500,115.2200,115.2300,1651600
1442249040,115.1200,115.3800,115.1100,115.2900,389900
1442249340,115.0250,115.1400,114.9200,115.1110,456400
1442249699,115.0500,115.0900,114.9800,115.0300,283200
1442249999,115.0889,115.1100,115.0100,115.0550,280300
1442250241,115.0000,115.1100,114.9700,115.0800,353400
1442250598,115.0800,115.1000,114.9800,115.0000,374300
1442250840,115.0950,115.2000,115.0700,115.0899,289500
1442251198,115.1500,115.1700,115.0400,115.1000,239200
1442251499,115.1450,115.1600,115.0900,115.1500,223000
1442251740,115.2600,115.3000,115.1200,115.1400,347500
1442252099,115.3600,115.4000,115.2400,115.2600,340300
1442252340,115.5910,115.7000,115.3500,115.3600,705900
1442252640,115.6232,115.7800,115.5499,115.6000,398400
1442252941,115.6600,115.7000,115.5400,115.6300,476200
1442253297,115.5500,115.6800,115.5000,115.6600,328200
1442253599,115.7250,115.7400,115.5200,115.5550,349200
1442253899,115.6400,115.7400,115.6100,115.7250,315500
1442254140,115.3980,115.6600,115.3500,115.6399,383300
1442254497,115.4000,115.4650,115.3110,115.3900,315500
